id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
356531-2026;2026-05-25T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – PSA Profischule Campus - Haus A - Holz-, Alu-Verbundfenster/Außentüren;Gemeinde Ascheberg;Aschberg;;2026-06-23T08:00:00.000Z;45421100 45421110 45421111 45421112 45421130 45421131 45421132;63;https://ted.europa.eu/bg/notice/-/detail/356531-2026
356673-2026;2026-05-25T22:00:00.000Z;Deutschland – Fassadenarbeiten – Erweiterung Städt. Wirtschaftsschule zur Integration der Staatl. FOS - Pfosten-Riegel-Fassade;Stadt Schwabach;Schwabach;;2026-06-23T09:00:00.000Z;44221000;63;https://ted.europa.eu/bg/notice/-/detail/356673-2026
356832-2026;2026-05-25T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Stahltüren, Rettungszentrum;Stadt Freiburg i. Br. - Vergabemanagement;Freiburg im Breisgau;;2026-06-23T07:40:00.000Z;45421100 45223210 44221200 44221220 45421111 45421120 45421131;63;https://ted.europa.eu/bg/notice/-/detail/356832-2026
356947-2026;2026-05-25T22:00:00.000Z;Deutschland – Metallbauarbeiten – Straße der Republik 2B, Wiesbaden;SEG Stadtentwicklungsgesellschaft Wiesbaden mbH;Wiesbaden;;2026-06-23T08:00:00.000Z;45421100;63;https://ted.europa.eu/bg/notice/-/detail/356947-2026
357413-2026;2026-05-25T22:00:00.000Z;Deutschland – Bau von Grundschulen – Generalsanierung und Erweiterung der Grundschule Sugenheim mit Turnhalle und Hort, BA2 - hier: Pflasterarbeiten BA 2 Pausenhof;Markt Sugenheim;Sugenheim;;2026-06-23T08:00:00.000Z;45342000;63;https://ted.europa.eu/bg/notice/-/detail/357413-2026
357676-2026;2026-05-25T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Umbau und Sanierung Grundschule Süd Altötting ARC_LV07_Schreinerarbeiten Fenster+Aussentüren;Stadt Altötting;Altötting;;2026-06-24T09:00:00.000Z;45421100 45421130;63;https://ted.europa.eu/bg/notice/-/detail/357676-2026
353839-2026;2026-05-25T22:00:00.000Z;Deutschland – Installation von Einbauküchen – Lieferung und Einbau Küchentechnik - Erweiterung der Annette-von-Droste-Hülshoff Grundschule Nienberge;Stadt Münster - Zentrale Rechtsdienstleistungen und Vergabemanagement;Münster;245142.42;;45421151;60;https://ted.europa.eu/bg/notice/-/detail/353839-2026
354709-2026;2026-05-25T22:00:00.000Z;Deutschland – Einbau von Türen – Tischlerarbeiten - Innentüren;Klinikum Bad Hersfeld GmbH;Bad Hersfeld;642109.83;;45421131 44221210;60;https://ted.europa.eu/bg/notice/-/detail/354709-2026
354910-2026;2026-05-25T22:00:00.000Z;Deutschland – Bauarbeiten – Errichtung eines Feuerwehrhauses in innovativer Holzbauweise;Gemeinde Wentorf bei Hamburg, Die Bürgermeisterin (Kreis Herzogtum Lauenburg);Wentorf bei Hamburg;210165.9;;45421148;60;https://ted.europa.eu/bg/notice/-/detail/354910-2026
356510-2026;2026-05-25T22:00:00.000Z;Deutschland – Bauarbeiten – Errichtung eines Feuerwehrhauses in innovativer Holzbauweise;Gemeinde Wentorf bei Hamburg, Die Bürgermeisterin (Kreis Herzogtum Lauenburg);Wentorf bei Hamburg;423789.98;;45421152 45421146;60;https://ted.europa.eu/bg/notice/-/detail/356510-2026
355766-2026;2026-05-25T22:00:00.000Z;Deutschland – Fassadenarbeiten – MPI für Intelligente Systeme, Neubau Cyber Valley: Fassade;Max-Planck-Gesellschaft Abt.III;München;1;2026-06-10T08:00:00.000Z;44221000;55;https://ted.europa.eu/bg/notice/-/detail/355766-2026
