id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
496308-2026;2026-07-16T22:00:00.000Z;Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Wartung und Pflege von extensiv begrünten Dachflächen;Landeshauptstadt Hannover - Fachbereich Gebäudemanagement;Hannover;875405;2026-08-17T11:30:00.000Z;77310000;95;https://ted.europa.eu/bg/notice/-/detail/496308-2026
496589-2026;2026-07-16T22:00:00.000Z;Deutschland – Grundstückspflege – Grau und Grünpflege Zentrale Ginnheim und HV Hessen;Deutsche Bundesbank, Zentralbereich Beschaffungen;Frankfurt am Main;521008.4;2026-08-17T09:00:00.000Z;77314000;95;https://ted.europa.eu/bg/notice/-/detail/496589-2026
495896-2026;2026-07-16T22:00:00.000Z;Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Rahmenvereinbarung zur Außen- und Vegetationspflege an diversen Standorten;AOK NordWest - Die Gesundheitskasse.;Hagen;;2026-08-20T08:00:00.000Z;77310000 77300000 77340000;83;https://ted.europa.eu/bg/notice/-/detail/495896-2026
496460-2026;2026-07-16T22:00:00.000Z;Deutschland – Grundstückspflege – 26-0052_S_Geländepflege OP;Deutsches Zentrum für Luft-und Raumfahrt e. V. | TI-ZVM;Braunschweig;;2026-08-14T08:00:00.000Z;77314000 77340000 77310000;83;https://ted.europa.eu/bg/notice/-/detail/496460-2026
496863-2026;2026-07-16T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Bauleistungen für Grünanlagen – Umgestaltung Odilienplatz-Weinligplatz - Garten- und Landschaftsbau, 1. Bauabschnitt;Stadt Dillingen/Saar;Dillingen/Saar;;2026-08-27T08:30:00.000Z;45112710;83;https://ted.europa.eu/bg/notice/-/detail/496863-2026
497259-2026;2026-07-16T22:00:00.000Z;Deutschland – Grundstückspflege – Offenes Verfahren (EU-weit) zur Vergabe von Grünpflege und Grauflächenreinigungsleistungen für 7 Bundesliegenschaften in München und Umgebung, Bundesanstalt für Immobilienaufgaben, Sparte Wohnen Regionalbereich Süd und Direktion München - VOEK 007-26 -;Bundesanstalt für Immobilienaufgaben;Bonn;;2026-09-01T07:00:00.000Z;77314000 77310000 77300000 77342000;83;https://ted.europa.eu/bg/notice/-/detail/497259-2026
494496-2026;2026-07-16T22:00:00.000Z;Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Pflegemahd AWF 2026 28 Lkrs Neuburg;Staatliches Bauamt Ingolstadt;Ingolstadt;519312.63;;77310000;80;https://ted.europa.eu/bg/notice/-/detail/494496-2026
494673-2026;2026-07-16T22:00:00.000Z;Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Pflegemahd AWF 2026 28 Lkrs PAF;Staatliches Bauamt Ingolstadt;Ingolstadt;374147.8;;77310000;80;https://ted.europa.eu/bg/notice/-/detail/494673-2026
495379-2026;2026-07-16T22:00:00.000Z;Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Unterhaltungspfelge von Außenanlagen - SLUB Zentralbibliothek Dresden;Staatsbetrieb Sächsisches Immobilien- und Baumanagement, Zentrale, Zentralstelle Vergabe- und Vertragsmanagement;Dresden;170373.72;;77310000 77314000 77312100 77342000;80;https://ted.europa.eu/bg/notice/-/detail/495379-2026
494983-2026;2026-07-16T22:00:00.000Z;Deutschland – Dachabdichtungs- und -dämmarbeiten – 118 KliPrien BA3 - RoMed Klinik Prien am Chiemsee-Erneuerung Funktionsbau - 118-3340 Dachabdichtung;Kliniken der Stadt und des Lkr. Rosenheim GmbH;Rosenheim;;2026-09-09T12:00:00.000Z;45112713;63;https://ted.europa.eu/bg/notice/-/detail/494983-2026
497774-2026;2026-07-16T22:00:00.000Z;Deutschland – Dachdeckarbeiten – Vilbeler Straße 38, Feuerwehrhaus Ober-Erlenbach - Dachdeckerarbeiten inkl. Gründachherstellung;Stadt Bad Homburg v. d. Höhe - Der Magistrat, Fachbereich Recht - Vergabestelle -;Bad Homburg v. d. Höhe;;;45112713;48;https://ted.europa.eu/bg/notice/-/detail/497774-2026
490835-2026;2026-07-15T22:00:00.000Z;Deutschland – Bauarbeiten für Wasser- und Abwasserrohrleitungen – Erdbau, Grund-/Medienleitungen, Außenanlagen - EX-Post;Kreisausschuss Main-Taunus-Kreis, Hochbau- und Liegenschaftsamt;Hofheim am Taunus;319693.5;;45112710;80;https://ted.europa.eu/bg/notice/-/detail/490835-2026
492935-2026;2026-07-15T22:00:00.000Z;Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Rahmenvertrag Mahd des Straßenbegleitgrüns;Rennbahngemeinde Hoppegarten;Hoppegarten;666628;;77310000 77300000;80;https://ted.europa.eu/bg/notice/-/detail/492935-2026
493707-2026;2026-07-15T22:00:00.000Z;Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – Pflegemahd AWF 2026 28 Lkrs EI;Staatliches Bauamt Ingolstadt;Ingolstadt;627317.33;;77310000;80;https://ted.europa.eu/bg/notice/-/detail/493707-2026
491840-2026;2026-07-15T22:00:00.000Z;Deutschland – Dienstleistungen im Gartenbau – RV Landschaftspflege;Bundeswehr-Dienstleistungszentrum Bergen;Lohheide;;;77300000 77211500 77310000;68;https://ted.europa.eu/bg/notice/-/detail/491840-2026
492592-2026;2026-07-15T22:00:00.000Z;Deutschland – Baumpflege – Massariakontrolle und Kronenpflege entlang der Ruhrbahn-Oberleitungen 2026-2029;Grün und Gruga;Essen;;;77211500;68;https://ted.europa.eu/bg/notice/-/detail/492592-2026
490893-2026;2026-07-15T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Bauleistungen für Gartenanlagen – Aufforstung auf der Kläranlage Hamm-West;Lippeverband;Essen;;2026-09-01T09:30:00.000Z;45112712;63;https://ted.europa.eu/bg/notice/-/detail/490893-2026
491417-2026;2026-07-15T22:00:00.000Z;Deutschland – Bauarbeiten – Stadt Hemmingen - GS Arnum - Dachabdichtungsarbeiten;Stadt Hemmingen;Hemmingen;;2026-09-07T08:00:00.000Z;45112713;63;https://ted.europa.eu/bg/notice/-/detail/491417-2026
492642-2026;2026-07-15T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Arbeiten – 116 CSD Caritas-Förderzentren St. Severin und Don Bosco - Ersatzneubau 116-5001 BA1 Freianlagen;Caritasverband für die Diözese Passau e.V.;Passau;;2026-08-18T08:00:00.000Z;45112700 77314100;63;https://ted.europa.eu/bg/notice/-/detail/492642-2026
491000-2026;2026-07-15T22:00:00.000Z;Deutschland – Dachabdichtungs- und -dämmarbeiten – HWK DO VE318 H7 Dachabdichtung und -begrünung;Handwerkskammer Dortmund;Dortmund;342811.08;;45112713;60;https://ted.europa.eu/bg/notice/-/detail/491000-2026
490559-2026;2026-07-15T22:00:00.000Z;Deutschland – Dachabdichtungs- und -dämmarbeiten – Dachabdichtungsarbeiten 70-00482-2180-305 - PR1190654-2180-B;Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V. - Einkauf B12 - Vergabestelle Bau;München;;;45112713;48;https://ted.europa.eu/bg/notice/-/detail/490559-2026
491740-2026;2026-07-15T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Arbeiten – GaLaBauarbeiten;Sprinkenhof GmbH;Hamburg;12611340;2026-07-27T10:00:00.000Z;45112700 45112712;45;https://ted.europa.eu/bg/notice/-/detail/491740-2026
487829-2026;2026-07-14T22:00:00.000Z;Deutschland – Dienstleistungen in Landwirtschaft, Forstwirtschft, Gartenbau, Aquakultur und Bienenzucht – Auftragsänderung: Trassenpflegemaßnahmen verschiedener Höchstspannungsleitungen der TenneT TSO GmbH im Zuständigkeitsbereich des Betriebszentrums Lehrte und des Betriebszentrums Bayreuth 2023 - 2028;TenneT TSO GmbH;Bayreuth;;;77340000 77211000;68;https://ted.europa.eu/bg/notice/-/detail/487829-2026
490271-2026;2026-07-14T22:00:00.000Z;Deutschland – Dienstleistungen in Landwirtschaft, Forstwirtschft, Gartenbau, Aquakultur und Bienenzucht – Auftragsänderung: Trassenpflegemaßnahmen verschiedener Höchstspannungsleitungen der TenneT TSO GmbH im Zuständigkeitsbereich des Betriebszentrums Lehrte und des Betriebszentrums Bayreuth 2025 - 2030;TenneT TSO GmbH;Bayreuth;;;77340000 77211000;68;https://ted.europa.eu/bg/notice/-/detail/490271-2026
490379-2026;2026-07-14T22:00:00.000Z;Deutschland – Dienstleistungen in Landwirtschaft, Forstwirtschft, Gartenbau, Aquakultur und Bienenzucht – Auftragsänderung: Trassenpflegemaßnahmen verschiedener Höchstspannungsleitungen der TenneT TSO GmbH im Zuständigkeitsbereich des Betriebszentrums Lehrte und des Betriebszentrums Bayreuth 2024 - 2029;TenneT TSO GmbH;Bayreuth;;;77340000 77211000;68;https://ted.europa.eu/bg/notice/-/detail/490379-2026
