id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
490522-2026;;Deutschland – Gebäudereinigung – Offenes Verfahren zur Vergabe von Dienstleistungsverträgen über die Gebäudeinnen- und Sonderreinigung für das Landgericht Halle und den Sozialen Dienst der Justiz Halle, sowie die Glas- und Fensterreinigung für das Justizzentrum Halle, das Landgericht Halle und den Sozialen Dienst der Justiz Halle.;Zentrale Beschaffungsstelle bei dem Landgericht Magdeburg;Magdeburg;896313;;90911200 90911300;80;https://ted.europa.eu/bg/notice/-/detail/490522-2026
490819-2026;;Deutschland – Wohnungs-, Gebäude- und Fensterreinigung – Gebäude- und Glasreinigung Rostock Ost und Mitte;Staatliches Bau- und Liegenschaftsamt Rostock;Rostock;334989.6;;90911000;80;https://ted.europa.eu/bg/notice/-/detail/490819-2026
491463-2026;;Deutschland – Gebäudereinigung – Reinigungsdienstleistungen (Unterhalts- und Glasreinigung) für das Behördenzentrum Ilmenau;Thüringer Landesamt für Bau und Verkehr;Erfurt;578422.38;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/491463-2026
491582-2026;;Deutschland – Gebäudereinigung – Offenes Verfahren (EU-weit) zur Vergabe von Gebäudereinigungsleistungen (Unterhalts- und Grundreinigungsleistungen) für zwei Dienstliegenschaften in 10707 und 14057 Berlin, Bundesanstalt für Immobilienaufgaben, Direktion Berlin (VOEK 290-25);Bundesanstalt für Immobilienaufgaben;Bonn;1289944.68;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/491582-2026
492867-2026;;Deutschland – Gebäudereinigung – Offenes Verfahren (EU-weit) zur Vergabe von Gebäudereinigungsleistungen (Unterhalts- und Glasreinigungsleistungen) für zwei Liegenschaften in Rostock, Bundesanstalt für Immobilienaufgaben, Direktion Rostock;Bundesanstalt für Immobilienaufgaben;Bonn;175213.05;;90911200 90911300;80;https://ted.europa.eu/bg/notice/-/detail/492867-2026
493531-2026;;Deutschland – Gebäudereinigung – Offenes Verfahren (EU-weit) zur Vergabe von Gebäudereinigungsleistungen (Unterhalts- und Glasreinigungsleistungen) für eine Dienstliegenschaft in Ebersbach- Neugersdorf VOEK 669-25;Bundesanstalt für Immobilienaufgaben;Bonn;275083.86;;90911200 90911300;80;https://ted.europa.eu/bg/notice/-/detail/493531-2026
493710-2026;;Deutschland – Gebäudereinigung – Nicht offenes Verfahren (EU-weit) zur Vergabe von Gebäudereinigungsleistungen (Unterhalts- und Glasreinigungsleistungen) für eine Dienstliegenschaft Andechser Straße 30 in 82319 Söcking, Bundesanstalt für Immobilienaufgaben, Direktion München (VOEK 288-25);Bundesanstalt für Immobilienaufgaben;Bonn;601756.8;;90911200 90911300;80;https://ted.europa.eu/bg/notice/-/detail/493710-2026
494893-2026;;Deutschland – Gebäudereinigung – BLB /Z /NL Münster/Infrastrukturelle Gebäudedienstleistungen/Unterhaltsreinigung/Los 1.15_100-26-00063;Bau- und Liegenschaftsbetrieb NRW Zentrale;Düsseldorf;362022;;90911200 90910000 90911100;80;https://ted.europa.eu/bg/notice/-/detail/494893-2026
495440-2026;;Deutschland – Gebäudereinigung – Gebäudereinigungsarbeiten im JRC Karlsruhe;Europäische Kommission, Gemeinsame Forschungsstelle (JRC);Eggenstein-Leopoldshafen;1779187.2;;90911200 90919200;80;https://ted.europa.eu/bg/notice/-/detail/495440-2026
495597-2026;;Deutschland – Büroreinigung – Unterhaltsreinigung LRA und Nebenstellen;Kreisausschuss des Hochtaunuskreises;Bad Homburg;1194035.68;;90919200 90911200;80;https://ted.europa.eu/bg/notice/-/detail/495597-2026
